400,RandomPlayer,260623737,1,260623737,26,game00400.log,
401,260623737,RandomPlayer,0,260623737,32,game00401.log,
402,RandomPlayer,260623737,1,260623737,21,game00402.log,
403,260623737,RandomPlayer,0,260623737,32,game00403.log,
404,RandomPlayer,260623737,1,260623737,35,game00404.log,
405,260623737,RandomPlayer,0,260623737,37,game00405.log,
406,RandomPlayer,260623737,1,260623737,28,game00406.log,
407,260623737,RandomPlayer,1,RandomPlayer,28,game00407.log,
408,RandomPlayer,260623737,0,RandomPlayer,37,game00408.log,
409,260623737,RandomPlayer,0,260623737,23,game00409.log,
410,RandomPlayer,260623737,1,260623737,30,game00410.log,
411,260623737,RandomPlayer,1,RandomPlayer,33,game00411.log,
412,RandomPlayer,260623737,1,260623737,36,game00412.log,
413,260623737,RandomPlayer,0,260623737,28,game00413.log,
414,RandomPlayer,260623737,0,RandomPlayer,27,game00414.log,
415,260623737,RandomPlayer,1,RandomPlayer,45,game00415.log,
416,RandomPlayer,260623737,1,260623737,19,game00416.log,
417,260623737,RandomPlayer,1,RandomPlayer,41,game00417.log,
418,RandomPlayer,260623737,1,260623737,31,game00418.log,
419,260623737,RandomPlayer,0,260623737,31,game00419.log,
420,RandomPlayer,260623737,1,260623737,29,game00420.log,
421,260623737,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,46,game00421.log,
422,RandomPlayer,260623737,1,260623737,29,game00422.log,
423,260623737,RandomPlayer,0,260623737,25,game00423.log,
424,RandomPlayer,260623737,1,260623737,46,game00424.log,
425,260623737,RandomPlayer,0,260623737,30,game00425.log,
426,RandomPlayer,260623737,1,260623737,34,game00426.log,
427,260623737,RandomPlayer,1,RandomPlayer,34,game00427.log,
428,RandomPlayer,260623737,0,RandomPlayer,32,game00428.log,
429,260623737,RandomPlayer,0,260623737,14,game00429.log,
430,RandomPlayer,260623737,1,260623737,19,game00430.log,
431,260623737,RandomPlayer,0,260623737,16,game00431.log,
432,RandomPlayer,260623737,1,260623737,20,game00432.log,
